GEO_ID,NAME,B13014_002E
53001,"Adams County, Washington",304
53003,"Asotin County, Washington",183
53005,"Benton County, Washington",2556
53007,"Chelan County, Washington",584
53009,"Clallam County, Washington",625
53011,"Clark County, Washington",5807
53013,"Columbia County, Washington",45
53015,"Cowlitz County, Washington",1256
53017,"Douglas County, Washington",449
53019,"Ferry County, Washington",101
53021,"Franklin County, Washington",1545
53023,"Garfield County, Washington",31
53025,"Grant County, Washington",1743
53027,"Grays Harbor County, Washington",725
53029,"Island County, Washington",1077
53031,"Jefferson County, Washington",112
53033,"King County, Washington",27838
53035,"Kitsap County, Washington",3113
53037,"Kittitas County, Washington",424
53039,"Klickitat County, Washington",174
53041,"Lewis County, Washington",989
53043,"Lincoln County, Washington",126
53045,"Mason County, Washington",782
53047,"Okanogan County, Washington",575
53049,"Pacific County, Washington",129
53051,"Pend Oreille County, Washington",353
53053,"Pierce County, Washington",12739
53055,"San Juan County, Washington",113
53057,"Skagit County, Washington",1258
53059,"Skamania County, Washington",39
53061,"Snohomish County, Washington",10587
53063,"Spokane County, Washington",6645
53065,"Stevens County, Washington",537
53067,"Thurston County, Washington",3370
53069,"Wahkiakum County, Washington",36
53071,"Walla Walla County, Washington",655
53073,"Whatcom County, Washington",3020
53075,"Whitman County, Washington",299
53077,"Yakima County, Washington",3878
