State,Ranking,Value
HI,1,38.6
FL,2,20.24
NH,3,15.56
RI,4,15.45
MA,5,15.4
CA,6,15.32
AL,7,14.23
ME,8,13.75
CT,9,13.44
VT,10,12.6
NY,11,12.17
MD,12,11.89
DE,13,11.82
GA,14,11.71
VA,15,11.54
NC,16,11.27
DC,17,11.17
AZ,18,11.16
AR,19,11.05
AK,20,10.59
WA,21,10.57
LA,22,10.45
TX,23,10.41
SC,24,10.32
PA,25,10.2
OR,26,10.05
MS,27,9.89
NJ,28,9.39
WV,29,9.03
MO,30,8.98
KY,31,8.79
UT,32,8.34
KS,33,8.24
NV,34,8.18
OK,35,8.02
WY,36,7.98
NE,37,7.91
MN,38,7.89
MI,39,7.72
TN,40,7.52
NM,41,7.21
MT,42,7.16
WI,43,7.12
CO,44,6.94
IN,45,6.91
IL,46,6.79
IA,47,6.51
SD,48,6.44
OH,49,6.28
ID,50,6.24
ND,51,5.74
